#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
49679	9947452	5155760	53	0
49680	9947450	5155760	55	0
49681	9947450	5155760	55	0
49682	9947449	5155760	100	0
49683	9947447	5155760	116	0
49684	9947433	5155763	125	0
49685	9947420	5155766	159	0
49686	9947410	5155769	162	0
49687	9947363	5155775	338	0
49688	9947363	5155775	338	0
49689	9947323	5155780	351	0
49690	9947273	5155787	342	0
49691	9947247	5155790	333	0
49692	9947247	5155790	333	0
49693	9947238	5155792	335	0
49694	9947224	5155794	327	0
49695	9947180	5155799	268	0
49696	9947180	5155799	268	0
49697	9947164	5155803	272	0
49698	9947157	5155804	187	0
49699	9947157	5155804	187	0
49700	9947130	5155805	166	0
49701	9947130	5155805	166	0
49702	9947117	5155805	92	0
49703	9947110	5155805	90	0
49704	9947097	5155805	105	0
49705	9947073	5155805	116	0
49706	9947073	5155805	116	0
49707	9947066	5155805	112	0
49708	9947053	5155805	151	0
49709	9947053	5155805	151	0
49710	9947053	5155806	127	0
49711	9947053	5155806	127	0
49712	9947066	5155806	75	0
49713	9947066	5155806	187	0
49714	9947066	5155806	187	0
49715	9947050	5155804	375	0
49716	9947050	5155804	375	0
49717	9947033	5155803	407	0
49718	9947026	5155802	362	0
49719	9947026	5155802	362	0
49720	9947015	5155801	268	0
49721	9947010	5155800	272	0
49722	9947010	5155800	272	0
49723	9946999	5155799	275	0
49724	9947006	5155797	446	0
49725	9947001	5155796	455	0
49726	9946981	5155794	498	0
49727	9946961	5155791	640	0
49728	9946923	5155788	1376	0
49729	9946905	5155784	1472	0
49730	9946870	5155774	1720	0
49731	9946855	5155770	1594	0
49732	9946836	5155766	1603	0
49733	9946836	5155766	1603	0
49734	9946832	5155762	1603	0
49735	9946818	5155755	1607	0
49736	9946818	5155755	1607	0
49737	9946810	5155750	1616	0
49738	9946778	5155743	1429	0
49739	9946778	5155743	1429	0
49740	9946703	5155737	1503	0
49741	9946656	5155735	1457	0
49742	9946605	5155733	1457	0
49743	9946605	5155733	1457	0
49744	9946545	5155731	1463	0
49745	9946475	5155731	1574	0
49746	9946402	5155731	1585	0
49747	9946328	5155733	1631	0
49748	9946254	5155735	1744	0
49749	0	0	0	0
49750	9946107	5155735	1829	0
49751	9946033	5155734	1744	0
49752	9945962	5155734	1774	0
49753	9945878	5155734	1731	0
49754	9945798	5155733	1655	0
49755	9945725	5155732	1653	0
49756	9945650	5155732	1737	0
49757	9945561	5155734	1896	0
49758	9945475	5155735	1998	0
49759	9945385	5155735	2081	0
49760	9945298	5155736	2026	0
49761	9945216	5155736	1831	0
49762	9945133	5155736	1902	0
49763	9944972	5155736	1811	0
49764	9944972	5155736	1811	0
49765	9944892	5155737	1809	0
49766	9944812	5155737	1950	0
49767	9944812	5155737	1950	0
49768	9944636	5155738	1911	0
49769	9944551	5155739	2014	0
49770	9944455	5155740	2024	0
49771	9944282	5155742	1933	0
49772	9944197	5155744	1781	0
49773	9944120	5155745	1744	0
49774	9944120	5155745	1744	0
49775	9943974	5155746	1672	0
49776	9943974	5155746	1672	0
49777	9943847	5155747	1663	0
49778	9943775	5155749	1672	0
49779	9943775	5155749	1672	0
49780	9943704	5155750	1831	0
49781	9943572	5155753	1592	0
49782	9943517	5155753	1405	0
49783	9943517	5155753	1405	0
49784	9943463	5155753	1468	0
49785	9943400	5155748	1527	0
49786	9943400	5155748	1527	0
49787	9943377	5155744	1620	0
49788	9943348	5155741	1696	0
49789	9943323	5155737	1664	0
49790	9943295	5155732	1876	0
49791	9943267	5155728	1981	0
49792	9943240	5155723	1970	0
49793	9943212	5155718	1922	0
49794	9943183	5155713	2020	0
49795	9943151	5155708	2118	0
49796	9943122	5155704	2113	0
49797	9943057	5155694	2114	0
49798	9943057	5155694	2114	0
49799	9943020	5155690	1981	0
49800	9942988	5155685	1805	0
49801	9942962	5155681	1677	0
49802	9942928	5155677	1683	0
49803	9942857	5155669	1726	0
49804	9942857	5155669	1726	0
49805	9942820	5155665	1807	0
49806	9942786	5155661	1757	0
49807	9942755	5155657	1768	0
49808	9942721	5155654	1852	0
49809	9942687	5155649	1924	0
49810	9942654	5155645	1970	0
49811	9942618	5155640	2114	0
49812	9942585	5155636	1939	0
49813	9942549	5155631	1927	0
49814	9942516	5155627	1868	0
49815	9942485	5155622	1918	0
49816	9942456	5155617	1909	0
49817	9942427	5155613	1918	0
49818	9942395	5155608	1879	0
49819	9942365	5155604	1872	0
49820	9942305	5155595	1848	0
49821	9942285	5155591	2029	0
49822	9942255	5155586	2076	0
49823	9942215	5155582	2174	0
49824	9942183	5155579	2124	0
49825	9942160	5155575	2009	0
49826	9942133	5155570	1998	0
49827	9942106	5155565	1955	0
49828	9942081	5155561	1900	0
49829	9942055	5155556	1944	0
49830	9942030	5155552	1883	0
49831	9941997	5155547	1879	0
49832	9941961	5155543	1816	0
49833	9941935	5155539	1735	0
49834	9941905	5155534	1748	0
49835	9941880	5155530	1801	0
49836	9941849	5155526	1811	0
49837	9941820	5155522	1772	0
49838	9941789	5155518	1855	0
49839	9941756	5155513	1963	0
49840	9941727	5155509	2018	0
49841	9941695	5155504	1989	0
49842	9941667	5155499	1900	0
49843	9941640	5155494	1909	0
49844	9941611	5155490	1942	0
49845	9941580	5155486	1929	0
49846	9941546	5155481	1935	0
49847	9941515	5155477	1883	0
49848	9941480	5155472	1927	0
49849	9941439	5155468	1976	0
49850	9941401	5155464	1985	0
49851	9941363	5155459	2140	0
49852	9941327	5155454	2172	0
49853	9941294	5155449	2231	0
49854	9941255	5155444	2287	0
49855	9941216	5155439	2150	0
49856	9941180	5155434	2077	0
49857	9941147	5155430	2016	0
49858	9941109	5155424	2129	0
49859	9941072	5155419	2142	0
49860	9941040	5155413	2142	0
49861	9941010	5155408	2135	0
49862	9940978	5155403	2144	0
49863	9940948	5155398	2211	0
49864	9940920	5155393	2179	0
49865	9940890	5155387	2035	0
49866	9940868	5155383	1824	0
49867	9940840	5155379	1683	0
49868	9940802	5155375	1526	0
49869	9940763	5155372	1646	0
49870	9940726	5155369	1446	0
49871	9940695	5155366	1292	0
49872	9940672	5155363	1146	0
49873	9940652	5155360	1040	0
49874	9940634	5155358	896	0
49875	9940634	5155358	896	0
49876	9940617	5155356	661	0
49877	9940601	5155354	464	0
49878	9940595	5155353	311	0
49879	9940583	5155353	9	0
49880	9940575	5155352	22	0
49881	9940560	5155351	51	0
49882	9940525	5155346	1166	0
49883	9940525	5155346	1166	0
49884	9940500	5155342	1574	0
49885	9940470	5155338	1681	0
49886	9940432	5155333	1837	0
49887	9940395	5155329	1876	0
49888	9940360	5155325	1876	0
49889	9940323	5155320	1952	0
49890	9940285	5155315	1964	0
49891	9940247	5155311	1974	0
49892	9940211	5155306	2064	0
49893	9940173	5155301	2148	0
49894	9940135	5155296	2135	0
49895	9940099	5155291	2239	0
49896	9940060	5155286	2298	0
49897	9940022	5155281	2261	0
49898	9939981	5155276	2039	0
49899	9939937	5155271	2229	0
49900	9939841	5155261	2272	0
49901	9939841	5155261	2272	0
49902	9939792	5155256	2270	0
49903	9939749	5155251	2239	0
49904	9939705	5155246	2290	0
49905	9939662	5155241	2361	0
49906	9939618	5155236	2218	0
49907	9939580	5155231	2214	0
49908	9939544	5155226	2244	0
49909	9939544	5155226	2244	0
49910	9939464	5155216	2316	0
49911	9939426	5155210	2261	0
49912	9939390	5155205	2294	0
49913	9939352	5155200	2244	0
49914	9939317	5155195	2235	0
49915	9939280	5155189	2231	0
49916	9939243	5155184	2237	0
49917	9939203	5155178	2239	0
49918	9939175	5155173	2114	0
49919	9939150	5155168	2127	0
49920	9939123	5155163	2157	0
49921	0	0	0	0
49922	9939043	5155147	2172	0
49923	9939018	5155142	2179	0
49924	9939018	5155142	2179	0
49925	9938992	5155137	2266	0
49926	9938969	5155131	2189	0
49927	0	0	0	0
49928	9938929	5155120	2227	0
49929	9938910	5155115	2222	0
49930	9938869	5155105	2063	0
49931	9938869	5155105	2063	0
49932	9938851	5155099	2002	0
49933	9938831	5155095	1996	0
49934	9938813	5155089	2050	0
49935	9938784	5155079	2018	0
49936	9938784	5155079	2018	0
49937	9938771	5155074	1922	0
49938	9938760	5155069	1918	0
49939	9938748	5155064	2013	0
49940	9938739	5155058	2048	0
49941	9938730	5155052	2152	0
49942	9938724	5155047	2063	0
49943	9938718	5155042	2031	0
49944	9938715	5155036	2035	0
49945	9938712	5155031	1939	0
49946	9938708	5155020	2192	0
49947	9938712	5155013	2102	0
49948	9938712	5155013	2102	0
49949	9938717	5155008	2020	0
49950	9938730	5154997	2246	0
49951	9938730	5154997	2246	0
49952	9938739	5154991	2253	0
49953	9938757	5154979	2339	0
49954	9938757	5154979	2339	0
49955	9938766	5154973	2309	0
49956	9938777	5154967	2298	0
49957	9938787	5154962	2196	0
49958	9938798	5154955	2411	0
49959	9938808	5154949	2448	0
49960	9938818	5154943	2318	0
49961	9938828	5154937	2320	0
49962	9938840	5154931	2124	0
49963	9938850	5154926	2116	0
49964	9938844	5154920	1987	0
49965	9938844	5154915	1992	0
49966	9938845	5154909	2007	0
49967	9938847	5154904	2229	0
49968	9938851	5154898	2085	0
49969	9938844	5154893	1953	0
49970	9938853	5154888	1783	0
49971	9938864	5154884	1826	0
49972	9938871	5154879	1894	0
49973	9938885	5154874	1807	0
49974	9938891	5154869	1868	0
49975	9938905	5154859	1909	0
49976	9938905	5154859	1909	0
49977	9938910	5154854	1907	0
49978	9938909	5154848	2027	0
49979	9938909	5154843	1889	0
49980	9938909	5154838	1926	0
49981	9938909	5154838	1926	0
49982	9938925	5154828	2011	0
49983	9938942	5154822	2177	0
49984	9938955	5154817	2102	0
49985	9938970	5154812	2098	0
49986	9938990	5154807	1907	0
49987	9939003	5154802	1694	0
49988	9939016	5154799	1500	0
49989	9939030	5154795	1601	0
49990	9939049	5154791	1553	0
49991	9939069	5154788	1492	0
49992	9939083	5154784	1692	0
49993	9939110	5154779	2079	0
49994	9939140	5154774	2126	0
49995	9939170	5154768	2320	0
49996	9939194	5154762	2313	0
49997	9939219	5154756	2426	0
49998	9939219	5154756	2426	0
49999	9939272	5154743	2465	0
50000	9939285	5154737	2394	0
50001	9939301	5154731	2400	0
50002	9939322	5154725	2365	0
50003	9939342	5154720	2233	0
50004	9939366	5154714	2329	0
50005	9939393	5154708	2455	0
50006	9939444	5154696	2331	0
50007	9939462	5154690	2340	0
50008	9939462	5154690	2340	0
50009	9939475	5154684	2444	0
50010	9939497	5154677	2552	0
50011	9939518	5154671	2390	0
50012	9939542	5154666	2237	0
50013	9939562	5154661	2148	0
50014	9939578	5154654	2250	0
50015	9939602	5154649	2326	0
50016	9939662	5154636	2415	0
50017	9939683	5154630	2402	0
50018	9939683	5154630	2402	0
50019	9939700	5154624	2305	0
50020	9939723	5154618	2177	0
50021	9939752	5154612	1972	0
50022	9939775	5154606	2127	0
50023	9939801	5154600	2127	0
50024	9939827	5154594	2137	0
50025	9939850	5154588	2142	0
50026	9939867	5154583	1887	0
50027	9939887	5154579	1776	0
50028	9939903	5154575	1650	0
50029	9939920	5154571	1514	0
50030	9939934	5154567	1464	0
50031	9939945	5154564	1418	0
50032	9939960	5154560	1566	0
50033	9939981	5154556	1500	0
50034	9939981	5154556	1500	0
50035	9940028	5154550	1464	0
50036	9940045	5154546	1468	0
50037	9940079	5154538	1301	0
50038	9940079	5154538	1301	0
50039	9940084	5154534	1420	0
50040	9940090	5154530	1496	0
50041	9940090	5154530	1496	0
50042	0	0	0	0
50043	9940117	5154520	1379	0
50044	9940122	5154517	1298	0
50045	9940137	5154515	1161	0
50046	9940148	5154512	1005	0
50047	9940158	5154510	942	0
50048	9940173	5154507	1007	0
50049	9940200	5154503	938	0
50050	9940224	5154499	1053	0
50051	9940244	5154496	1055	0
50052	9940262	5154493	987	0
50053	9940271	5154492	887	0
50054	9940289	5154490	744	0
50055	9940300	5154489	590	0
50056	9940307	5154487	485	0
50057	9940311	5154486	472	0
50058	9940315	5154485	466	0
50059	9940316	5154484	424	0
50060	9940315	5154483	14	0
50061	9940313	5154483	7	0
50062	9940310	5154483	0	0
50063	9940309	5154482	1	0
50064	9940309	5154483	1	0
50065	9940307	5154483	1	0
50066	9940307	5154482	0	0
50067	9940307	5154482	0	0
50068	9940307	5154482	0	0
50069	9940307	5154482	0	0
50070	9940307	5154482	0	0
50071	9940307	5154482	0	0
50072	9940307	5154482	0	0
50073	9940307	5154482	0	0
50074	9940307	5154482	0	0
50075	9940307	5154482	0	0
50076	9940307	5154482	0	0
50077	9940307	5154482	0	0
50078	9940307	5154482	0	0
50079	9940307	5154482	0	0
50080	9940307	5154482	0	0
50081	9940309	5154482	3	0
50082	9940309	5154482	1	0
50083	9940309	5154482	1	0
50084	9940310	5154482	0	0
50085	9940310	5154482	0	0
50086	9940310	5154482	0	0
50087	9940310	5154482	0	0
50088	9940310	5154482	0	0
50089	9940310	5154482	0	0
50090	9940310	5154482	0	0
50091	9940322	5154480	507	0
50092	9940322	5154480	507	0
50093	9940343	5154472	1113	0
50094	9940343	5154472	1113	0
50095	9940360	5154469	1257	0
50096	9940375	5154465	1287	0
50097	9940385	5154462	1218	0
50098	9940385	5154458	1383	0
50099	9940385	5154455	1440	0
50100	9940392	5154450	1559	0
50101	9940392	5154450	1559	0
50102	9940410	5154443	1372	0
50103	9940422	5154440	1461	0
50104	9940435	5154436	1516	0
50105	9940450	5154432	1557	0
50106	9940465	5154428	1631	0
50107	9940476	5154424	1557	0
50108	0	0	0	0
50109	9940495	5154417	1461	0
50110	9940501	5154414	1403	0
50111	9940503	5154411	1237	0
50112	9940508	5154407	1364	0
50113	9940514	5154404	1407	0
50114	9940512	5154400	1314	0
50115	9940525	5154395	1705	0
50116	9940534	5154391	1472	0
50117	9940545	5154387	1420	0
50118	9940568	5154383	1372	0
50119	9940590	5154379	1576	0
50120	9940614	5154376	1507	0
50121	9940635	5154371	1246	0
50122	9940653	5154365	1144	0
50123	9940653	5154365	1144	0
50124	9940661	5154361	1301	0
50125	9940681	5154356	1592	0
50126	9940695	5154352	1603	0
50127	0	0	0	0
50128	9940730	5154344	1650	0
50129	9940748	5154340	1577	0
50130	9940770	5154336	1435	0
50131	9940785	5154332	1479	0
50132	9940802	5154324	1359	0
50133	9940817	5154320	1437	0
50134	9940817	5154320	1437	0
50135	9940845	5154312	1737	0
50136	9940845	5154312	1737	0
50137	9940858	5154307	1722	0
50138	9940886	5154298	1646	0
50139	9940886	5154298	1646	0
50140	9940893	5154294	1568	0
50141	9940915	5154289	1581	0
50142	9940951	5154281	1453	0
50143	9940962	5154277	1513	0
50144	9940962	5154277	1513	0
50145	9940969	5154273	1607	0
50146	9940980	5154269	1433	0
50147	9940990	5154265	1377	0
50148	9941005	5154262	1503	0
50149	9941015	5154258	1492	0
50150	9941027	5154254	1479	0
50151	9941036	5154250	1533	0
50152	9941051	5154245	1579	0
50153	9941067	5154241	1724	0
50154	9941083	5154237	1557	0
50155	9941100	5154233	1546	0
50156	9941132	5154225	1346	0
50157	9941147	5154221	1407	0
50158	9941158	5154217	1544	0
50159	9941158	5154217	1544	0
50160	9941172	5154213	1507	0
50161	9941183	5154209	1466	0
50162	9941201	5154205	1614	0
50163	9941216	5154201	1561	0
50164	9941230	5154197	1472	0
50165	9941247	5154193	1579	0
50166	9941263	5154189	1522	0
50167	9941280	5154185	1518	0
50168	9941297	5154181	1674	0
50169	9941315	5154177	1566	0
50170	9941328	5154173	1489	0
50171	9941345	5154170	1440	0
50172	9941365	5154165	1670	0
50173	9941385	5154161	1603	0
50174	9941405	5154157	1590	0
50175	9941419	5154152	1635	0
50176	9941432	5154148	1687	0
50177	9941448	5154144	1624	0
50178	9941463	5154139	1611	0
50179	9941480	5154136	1540	0
50180	9941500	5154132	1601	0
50181	9941519	5154128	1596	0
50182	9941535	5154123	1731	0
50183	9941550	5154119	1664	0
50184	9941565	5154115	1539	0
50185	9941582	5154111	1551	0
50186	9941593	5154107	1674	0
50187	9941610	5154103	1733	0
50188	9941622	5154098	1781	0
50189	9941640	5154094	1737	0
50190	9941660	5154090	1735	0
50191	9941682	5154085	1789	0
50192	9941707	5154081	1727	0
50193	9941736	5154076	1853	0
50194	9941758	5154072	1739	0
50195	9941758	5154067	1692	0
50196	9941782	5154062	1646	0
50197	9941800	5154058	1616	0
50198	9941822	5154053	1757	0
50199	9941843	5154049	1750	0
50200	9941862	5154044	1570	0
50201	9941876	5154040	1574	0
50202	9941892	5154036	1513	0
50203	9941898	5154032	1600	0
50204	9941910	5154029	1389	0
50205	9941921	5154026	1322	0
50206	9941935	5154023	1164	0
50207	9941947	5154020	1157	0
50208	9941954	5154018	1100	0
50209	9941957	5154015	964	0
50210	9941967	5154013	1009	0
50211	9941975	5154010	1022	0
50212	9941981	5154006	1161	0
50213	9941998	5154002	1263	0
50214	9942010	5153999	1187	0
50215	9942027	5153996	1101	0
50216	9942043	5153995	863	0
50217	9942061	5153993	729	0
50218	9942074	5153991	503	0
50219	9942083	5153990	503	0
50220	9942090	5153988	535	0
50221	9942090	5153988	535	0
50222	9942110	5153986	22	0
50223	9942113	5153985	14	0
50224	9942115	5153984	3	0
50225	9942120	5153983	7	0
50226	9942122	5153983	7	0
50227	9942123	5153983	7	0
50228	9942126	5153983	3	0
50229	9942128	5153983	3	0
50230	9942130	5153983	3	0
50231	9942132	5153983	0	0
50232	9942132	5153983	0	0
50233	9942132	5153983	0	0
50234	9942132	5153983	0	0
50235	9942132	5153983	0	0
50236	9942132	5153983	0	0
50237	9942132	5153983	0	0
50238	9942132	5153983	0	0
50239	9942132	5153983	0	0
50240	9942132	5153983	0	0
50241	9942132	5153983	0	0
50242	9942133	5153983	0	0
