#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
48921	9947033	5155822	11	0	395	38400	0
48922	9947033	5155822	20	0	395	38403	0
48923	9947035	5155822	18	0	395	38402	0
48924	9947035	5155822	40	0	395	38404	0
48925	9947035	5155822	37	0	395	38404	0
48926	9947037	5155822	61	0	395	38408	0
48927	9947037	5155823	79	0	394	38405	0
48928	9947037	5155823	66	0	394	38400	0
48929	9947037	5155823	62	0	394	38410	0
48930	9947037	5155823	62	0	394	38404	0
48931	9947039	5155823	79	0	394	38405	0
48932	9947039	5155823	83	0	394	38407	0
48933	9947039	5155824	83	0	394	38404	0
48934	9947039	5155824	72	0	394	38405	0
48935	9947040	5155824	96	0	394	38407	0
48936	9947039	5155824	77	0	394	38407	0
48937	9947037	5155824	48	0	394	38407	0
48938	9947039	5155824	44	0	394	38410	0
48939	9947037	5155824	38	0	394	38415	0
48940	9947035	5155824	51	0	394	38414	0
48941	9947033	5155824	51	0	394	38419	0
48942	9947033	5155825	61	0	393	38421	0
48943	9947032	5155825	75	0	393	38419	0
48944	9947030	5155825	129	0	393	38421	0
48945	9947037	5155825	124	0	393	38413	0
48946	9947039	5155825	109	0	393	38425	0
48947	9947045	5155825	81	0	393	38419	0
48948	9947055	5155825	74	0	393	38414	0
48949	9947052	5155826	72	0	393	38418	0
48950	9947055	5155826	61	185	393	38413	0
48951	9947053	5155827	85	185	393	38411	0
48952	9947050	5155827	62	185	393	38406	0
48953	9947050	5155827	64	0	393	38420	0
48954	9947050	5155827	68	0	393	38412	0
48955	9947048	5155827	72	0	393	38408	0
48956	9947046	5155827	29	140	393	38408	0
48957	9947045	5155827	90	402	393	38415	0
48958	9947045	5155827	275	402	393	38420	0
48959	9947039	5155826	431	402	393	38408	0
48960	9947037	5155825	527	0	393	38415	0
48961	9947026	5155824	761	1140	393	38412	0
48962	9947008	5155823	674	844	393	38405	0
48963	9946992	5155823	338	844	393	38413	0
48964	9946985	5155822	296	844	393	38414	0
48965	9946973	5155823	83	0	393	38410	0
48966	9946975	5155822	70	0	393	38408	0
48967	9946972	5155823	64	0	393	38410	0
48968	9946965	5155823	64	0	393	38419	0
48969	9946966	5155823	24	316	393	38420	0
48970	9946968	5155823	101	731	393	38416	0
48971	9946972	5155823	205	1223	393	38412	0
48972	9946970	5155821	681	1223	393	38417	0
48973	9946973	5155818	1088	1226	393	38407	0
48974	9946966	5155814	1431	1504	392	38417	0
48975	9946966	5155810	1498	1660	392	38410	0
48976	9946966	5155805	1596	1737	392	38415	0
48977	9946961	5155800	1696	1771	392	38417	0
48978	9946957	5155795	1701	1581	392	38410	0
48979	9946957	5155791	1629	1737	392	38414	0
48980	9946957	5155791	1629	1760	392	38432	0
48981	9946925	5155782	1787	1734	392	38445	0
48982	9946900	5155778	1829	1724	392	38433	0
48983	9946880	5155774	1835	1516	392	38445	0
48984	9946887	5155766	1848	1661	392	38445	0
48985	9946870	5155761	1814	1695	392	38440	0
48986	9946836	5155757	1748	1665	392	38432	0
48987	9946794	5155754	1557	1697	392	38442	0
48988	9946738	5155752	1592	1768	392	38426	0
48989	9946675	5155750	1598	1644	392	38441	0
48990	9946597	5155750	1970	1855	392	38435	0
48991	9946518	5155750	1844	1966	392	38442	0
48992	9946439	5155749	1961	2034	392	38445	0
48993	9946359	5155749	1953	1805	392	38453	0
48994	9946277	5155750	2003	2049	391	38452	0
48995	9946195	5155750	1959	2081	391	38463	0
48996	9946114	5155751	1989	2097	391	38463	0
48997	9946030	5155752	2053	2129	391	38463	0
48998	9945945	5155753	2044	2159	391	38461	0
48999	9945860	5155753	2113	1936	391	38457	0
49000	9945860	5155753	2113	2218	391	38460	0
49001	9945675	5155754	2059	2274	391	38456	0
49002	9945575	5155753	2129	2272	391	38480	0
49003	9945475	5155753	2272	2294	391	38479	0
49004	9945378	5155753	2285	2329	391	38468	0
49005	9945290	5155753	2155	2350	391	38476	0
49006	9945197	5155754	2164	2382	390	38486	0
49007	9945097	5155754	2389	2409	390	38479	0
49008	9944997	5155755	2387	2432	390	38480	0
49009	9944895	5155754	2389	2443	390	38490	0
49010	9944792	5155754	2489	2451	390	38479	0
49011	9944694	5155755	2370	2445	390	38487	0
49012	9944595	5155755	2437	2419	390	38489	0
49013	9944495	5155755	2437	2379	390	38486	0
49014	9944398	5155756	2253	2345	390	38471	0
49015	9944306	5155756	2211	2306	390	38478	0
49016	9944221	5155757	1985	2254	390	38481	0
49017	9944140	5155757	2090	2250	390	38496	0
49018	9944055	5155758	2098	1930	390	38492	0
49019	9943970	5155758	2181	2071	390	38488	0
49020	9943889	5155759	2118	2015	390	38495	0
49021	9943809	5155760	2040	1693	389	38495	0
49022	9943747	5155760	1840	1830	390	38495	0
49023	9943678	5155760	1839	1813	389	38504	0
49024	9943613	5155761	1663	1684	389	38489	0
49025	9943552	5155761	1522	1629	389	38491	0
49026	9943499	5155761	1326	1315	389	38508	0
49027	9943465	5155758	1188	1484	389	38502	0
49028	9943443	5155755	1331	1627	389	38507	0
49029	9943425	5155752	1594	1749	389	38503	0
49030	9943400	5155748	1694	1631	389	38508	0
49031	9943378	5155744	1726	1888	389	38510	0
49032	9943348	5155739	2000	1767	389	38503	0
49033	9943316	5155734	2116	2121	389	38503	0
49034	9943280	5155729	2240	2239	389	38504	0
49035	9943280	5155729	2240	2289	388	38510	0
49036	9943212	5155719	2131	2053	388	38528	0
49037	9943173	5155713	2092	2014	388	38511	0
49038	9943135	5155708	2183	2009	388	38523	0
49039	9943095	5155703	2185	2218	388	38524	0
49040	9943060	5155698	2196	2412	388	38518	0
49041	9943020	5155693	2164	2439	388	38508	0
49042	9942982	5155687	2064	2463	388	38537	0
49043	9942924	5155683	2126	2474	388	38518	0
49044	9942872	5155678	2179	2474	388	38541	0
49045	9942823	5155673	2177	2468	388	38539	0
49046	9942779	5155668	2242	2469	388	38526	0
49047	9942739	5155663	2248	2171	388	38539	0
49048	9942692	5155657	2263	2302	387	38537	0
49049	9942641	5155653	2087	2497	387	38529	0
49050	9942601	5155647	2294	2527	387	38540	0
49051	9942563	5155641	2326	2521	387	38508	0
49052	9942530	5155634	2361	2472	387	38539	0
49053	9942496	5155628	2420	2410	387	38553	0
49054	9942463	5155623	2507	2332	387	38539	0
49055	9942427	5155617	2385	2350	387	38549	0
49056	9942390	5155611	2290	2406	387	38567	0
49057	9942353	5155605	2279	2463	387	38533	0
49058	9942317	5155600	2316	2321	387	38533	0
49059	9942280	5155594	2346	2437	387	38567	0
49060	9942280	5155594	2346	2447	386	38549	0
49061	9942218	5155583	2389	2450	386	38562	0
49062	9942183	5155577	2392	2434	386	38557	0
49063	9942148	5155571	2496	2461	386	38551	0
49064	9942112	5155565	2309	2463	386	38569	0
49065	9942074	5155560	2324	2420	386	38545	0
49066	9942037	5155555	2365	2443	386	38550	0
49067	9941998	5155549	2600	2501	386	38555	0
49068	9941960	5155543	2548	2350	386	38545	0
49069	9941925	5155537	2481	2504	386	38545	0
49070	9941887	5155531	2392	2533	385	38564	0
49071	9941852	5155526	2224	2553	385	38567	0
