#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31195	9941923	5155863	31	0	217	100438	-1018
31196	9941906	5155856	40	0	216	100437	-1017
31197	9941906	5155856	40	0	216	100438	-1018
31198	9941898	5155843	25	0	216	100433	-1014
31199	9941902	5155840	29	0	216	100442	-1021
31200	9941902	5155837	37	155	216	100441	-1021
31201	9941899	5155836	85	155	216	100445	-1024
31202	9941895	5155836	42	155	216	100437	-1017
31203	9941893	5155836	18	0	216	100439	-1019
31204	9941892	5155836	9	0	215	100441	-1021
31205	9941893	5155836	25	351	215	100442	-1021
31206	9941895	5155836	29	407	215	100437	-1017
31207	9941897	5155836	248	407	215	100439	-1019
31208	9941900	5155836	196	407	215	100440	-1020
31209	9941904	5155836	175	369	215	100436	-1016
31210	9941906	5155836	100	369	215	100437	-1017
31211	9941907	5155835	40	369	214	100435	-1016
31212	9941910	5155835	100	668	214	100429	-1010
31213	9941916	5155835	220	801	214	100429	-1010
31214	9941927	5155835	451	1160	214	100423	-1005
31215	9941950	5155835	1114	1313	213	100431	-1012
31216	9941983	5155835	1266	1399	213	100432	-1013
31217	9942028	5155835	1453	1610	213	100432	-1013
31218	9942080	5155834	1505	1621	212	100423	-1005
31219	9942140	5155834	1531	1573	212	100428	-1010
31220	9942200	5155834	1329	1573	211	100433	-1014
31221	9942260	5155833	1403	1573	211	100432	-1013
31222	9942260	5155833	1403	1038	210	100427	-1009
31223	9942379	5155832	1426	1301	210	100426	-1008
31224	9942438	5155832	1374	1368	210	100435	-1016
31225	9942492	5155832	1090	1418	209	100432	-1013
31226	9942543	5155832	1133	1424	208	100437	-1017
31227	9942591	5155833	1161	1072	208	100430	-1011
31228	9942636	5155835	1120	1286	208	100429	-1010
31229	9942678	5155836	1029	1178	207	100432	-1013
31230	9942715	5155838	781	1078	207	100426	-1008
31231	9942747	5155840	785	1019	207	100432	-1013
31232	9942747	5155840	785	1062	207	100429	-1010
31233	9942805	5155841	890	1260	207	100432	-1013
31234	9942831	5155840	1244	1008	206	100428	-1010
31235	9942849	5155838	1429	1486	206	100424	-1006
31236	9942860	5155835	1498	1654	205	100428	-1010
31237	9942860	5155835	1498	1707	205	100430	-1011
31238	9942865	5155829	1468	1716	205	100426	-1008
31239	9942863	5155825	1564	1714	204	100421	-1004
31240	9942863	5155822	1494	1637	204	100425	-1007
31241	9942864	5155819	1324	1595	204	100420	-1003
31242	9942864	5155819	1324	1267	203	100413	-997
31243	9942879	5155812	1161	1289	203	100412	-996
31244	9942891	5155809	1151	948	203	100411	-995
31245	9942909	5155806	1083	1076	203	100405	-990
31246	9942936	5155804	1133	840	202	100410	-994
31247	9942936	5155804	1133	1049	202	100401	-987
31248	9943017	5155802	1107	826	202	100406	-991
31249	9943064	5155801	1024	957	201	100403	-989
31250	9943110	5155800	811	903	201	100408	-993
31251	9943150	5155800	659	735	201	100405	-990
31252	9943150	5155800	659	777	201	100403	-989
31253	9943211	5155799	731	881	201	100402	-988
31254	9943240	5155798	1031	950	200	100394	-981
31255	9943273	5155798	907	923	200	100394	-981
31256	9943309	5155798	813	850	200	100398	-984
31257	9943345	5155797	711	733	200	100394	-981
31258	9943376	5155797	409	733	200	100402	-988
31259	9943398	5155796	46	733	199	100399	-985
31260	9943412	5155796	33	0	199	100397	-983
31261	9943420	5155796	29	0	199	100402	-988
31262	9943424	5155796	44	0	199	100401	-987
31263	9943426	5155796	64	0	199	100406	-991
31264	9943428	5155796	66	0	199	100399	-985
31265	9943430	5155797	62	0	198	100393	-980
31266	9943431	5155797	75	0	198	100394	-981
31267	9943432	5155797	261	0	198	100394	-981
31268	9943436	5155797	450	175	198	100391	-978
31269	9943449	5155797	674	624	197	100400	-986
